Название: Аминалон | Дозировка: 3 т. по 275 мг | Категория: Для всего | Курс: 30
Название: Пирацетам | Дозировка: 2 т. по 200 мг | Категория: Учеба | Курс: 60
Название: Мексидол | Дозировка: 3 т. по 100 мг | Категория: Для всего | Курс: 60
Название: Кофеин | Дозировка: 1-2 т. по 100 мг | Категория: Концентрация | Курс: 60
Название: Ноопепт | Дозировка: 2-3 т. по 10 мг | Категория: Учеба | Курс: 60
Название: DMAT | Дозировка: 2-3 т. по 250 мг | Категория: Для всего | Курс: 60
Название: Бакопа монье | Дозировка: 2-3 т. по 450 мг | Категория: Мотивация | Курс: 60
Название: L-Теанин | Дозировка: 2-3 т. по 200 мг | Категория: Для всего | Курс: 60
Название: Рыбий жир | Дозировка: 3-6 т. по 500 мг | Категория: БАД | Курс: 60
Название: Ашваганда | Дозировка: 3 т. по 200 мг | Категория: Для всего | Курс: 60
Название: Лецитин | Дозировка: 3 т. по 200 мг | Категория: БАД | Курс: 60
Название: Сенапакт | Дозировка: 2 т. по 200 мг | Категория: Психотропные | Курс: 60


Название: test | Дозировка: 1 т. по 1 мг | Категория: test | Курс: 2
